Rad;Vad;Dag, start, slut;Datum;År;Månad;Veckodag;Starttid;Sluttid;Varaktighet;Vad, kategori;Var;Kommentar
1;Trettondagens Stjärngossetåg;2010-01-06 18:30-19:30;2010-01-06;2010;jan;ons;18:30;19:30;01:00;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
2;Om Henry B Goodwin – Björn Andersson;2010-01-10 14:00-14:45;2010-01-10;2010;jan;sön;14:00;14:45;00:45;Visning;Kulturen i Lund;
3;Tegnérmuseet öppet med visning;2010-01-13 19:00-21:00;2010-01-13;2010;jan;ons;19:00;21:00;02:00;Visning;Kulturen i Lund;
4;Julgransplundring;2010-01-17 14:00-16:00;2010-01-17;2010;jan;sön;14:00;16:00;02:00;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
5;DESIGNAT – Vernissage (Fotoskolan Skåne);2010-01-24 13:00-14:00;2010-01-24;2010;jan;sön;13:00;14:00;01:00;Invigning / Säsongstart;Kulturen i Lund;
6;Vårens söndagsjazz;2010-01-24 16:30-17:00;2010-01-24;2010;jan;sön;16:30;17:00;00:30;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
7;Förintelsens minnesdag – minnesstund;2010-01-27 18:00-20:00;2010-01-27;2010;jan;ons;18:00;20:00;02:00;Högtid / Minnesdag / Temadag;Kulturen i Lund;
8;Invigning Anne Frank och jag;2010-01-27 18:00-19:00;2010-01-27;2010;jan;ons;18:00;19:00;01:00;Invigning / Säsongstart;Kulturen i Lund;
9;Stick- och virkkafé;2010-01-30 13:00-16:00;2010-01-30;2010;jan;lör;13:00;16:00;03:00;Kurs / Workshop / Prova på;Kulturen i Lund;
10;Bengt Böckman – Bilder från ett liv: Vernissage;2010-01-31 14:00-15:00;2010-01-31;2010;jan;sön;14:00;15:00;01:00;Invigning / Säsongstart;Kulturen i Lund;
11;Vårens söndagsjazz;2010-02-07 16:30-17:00;2010-02-07;2010;feb;sön;16:30;17:00;00:30;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
12;Albrecht Dürer och den stora passionen: Invigning;2010-02-14 14:00-15:00;2010-02-14;2010;feb;sön;14:00;15:00;01:00;Invigning / Säsongstart;Kulturen i Lund;
13;Stick- och virkkafé;2010-02-20 13:00-16:00;2010-02-20;2010;feb;lör;13:00;16:00;03:00;Kurs / Workshop / Prova på;Kulturen i Lund;
14;Vårens söndagsjazz;2010-02-21 16:30-17:00;2010-02-21;2010;feb;sön;16:30;17:00;00:30;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
15;Grafik & tryck – familjeverkstad (Dürer);2010-02-23 11:00-12:00;2010-02-23;2010;feb;tis;11:00;12:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
16;Slöjdverkstad för familjen;2010-02-23 13:00-14:00;2010-02-23;2010;feb;tis;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
17;Grafik & tryck – familjeverkstad (Dürer);2010-02-24 11:00-12:00;2010-02-24;2010;feb;ons;11:00;12:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
18;Slöjdverkstad för familjen;2010-02-24 13:00-14:00;2010-02-24;2010;feb;ons;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
19;Grafik & tryck – familjeverkstad (Dürer);2010-02-25 11:00-12:00;2010-02-25;2010;feb;tor;11:00;12:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
20;Slöjdverkstad för familjen;2010-02-25 13:00-14:00;2010-02-25;2010;feb;tor;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
21;Grafik & tryck – familjeverkstad (Dürer);2010-02-26 11:00-12:00;2010-02-26;2010;feb;fre;11:00;12:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
22;Slöjdverkstad för familjen;2010-02-26 13:00-14:00;2010-02-26;2010;feb;fre;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
23;Prova-på: Broomstick lace;2010-03-06 12:00-15:00;2010-03-06;2010;mar;lör;12:00;15:00;03:00;Kurs / Workshop / Prova på;Kulturen i Lund;
24;Utsikter och insikter – Hans Pålsson tolkar Bengt Böckman;2010-03-07 14:00-15:00;2010-03-07;2010;mar;sön;14:00;15:00;01:00;Musik / Konsert / Sång / Allsång;Kulturen i Lund;
25;Slöjdverkstad för familjen;2010-03-14 13:00-14:00;2010-03-14;2010;mar;sön;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
26;Inspiration från Capri & Tarokkort – specialvisning (B. Böckman);2010-03-14 14:00-14:45;2010-03-14;2010;mar;sön;14:00;14:45;00:45;Visning;Kulturen i Lund;
27;Slöjdverkstad för familjen;2010-03-14 14:30-15:30;2010-03-14;2010;mar;sön;14:30;15:30;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
28;Tegnérmuseet öppet med visning;2010-03-18 19:00-21:00;2010-03-18;2010;mar;tor;19:00;21:00;02:00;Visning;Kulturen i Lund;
29;Slöjdverkstad för familjen;2010-03-21 13:00-14:00;2010-03-21;2010;mar;sön;13:00;14:00;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
30;Slöjdverkstad för familjen;2010-03-21 14:30-15:30;2010-03-21;2010;mar;sön;14:30;15:30;01:00;Leka / Spela / Pyssla / Verkstad;Kulturen i Lund;
