år;månad;besöksmål;typ;kategori;antal
2011;jan;kulturenilund;verksamhet;vuxen;586
2011;jan;kulturenilund;verksamhet;konferens;765
2011;jan;kulturenilund;verksamhet;student;139
2011;jan;kulturenilund;verksamhet;barn;451
2011;jan;kulturenilund;verksamhet;rabatt;46
2011;jan;kulturenilund;verksamhet;fri-vuxen;437
2011;jan;kulturenilund;verksamhet;skola-allt;874
2011;jan;kulturenilund;verksamhet;pensionär;128
2011;jan;kulturenilund;verksamhet;medlem;336
2011;jan;kulturenilund;verksamhet;grupp;79
2011;feb;kulturenilund;verksamhet;vuxen;344
2011;feb;kulturenilund;verksamhet;konferens;221
2011;feb;kulturenilund;verksamhet;student;175
2011;feb;kulturenilund;verksamhet;barn;493
2011;feb;kulturenilund;verksamhet;rabatt;24
2011;feb;kulturenilund;verksamhet;fri-vuxen;186
2011;feb;kulturenilund;verksamhet;skola-allt;860
2011;feb;kulturenilund;verksamhet;pensionär;94
2011;feb;kulturenilund;verksamhet;medlem;222
2011;feb;kulturenilund;verksamhet;grupp;136
2011;mar;kulturenilund;verksamhet;vuxen;434
2011;mar;kulturenilund;verksamhet;konferens;540
2011;mar;kulturenilund;verksamhet;student;169
2011;mar;kulturenilund;verksamhet;barn;233
2011;mar;kulturenilund;verksamhet;rabatt;11
2011;mar;kulturenilund;verksamhet;fri-vuxen;365
2011;mar;kulturenilund;verksamhet;skola-allt;1439
2011;mar;kulturenilund;verksamhet;pensionär;152
2011;mar;kulturenilund;verksamhet;medlem;154
2011;mar;kulturenilund;verksamhet;grupp;138
2011;apr;kulturenilund;verksamhet;vuxen;762
2011;apr;kulturenilund;verksamhet;konferens;125
2011;apr;kulturenilund;verksamhet;student;243
2011;apr;kulturenilund;verksamhet;barn;824
2011;apr;kulturenilund;verksamhet;rabatt;30
2011;apr;kulturenilund;verksamhet;fri-vuxen;429
2011;apr;kulturenilund;verksamhet;skola-allt;1603
2011;apr;kulturenilund;verksamhet;pensionär;187
2011;apr;kulturenilund;verksamhet;medlem;277
2011;apr;kulturenilund;verksamhet;grupp;174
2011;maj;kulturenilund;verksamhet;vuxen;1063
2011;maj;kulturenilund;verksamhet;konferens;911
2011;maj;kulturenilund;verksamhet;student;250
2011;maj;kulturenilund;verksamhet;barn;798
2011;maj;kulturenilund;verksamhet;rabatt;147
2011;maj;kulturenilund;verksamhet;fri-vuxen;468
2011;maj;kulturenilund;verksamhet;skola-allt;2104
2011;maj;kulturenilund;verksamhet;pensionär;437
2011;maj;kulturenilund;verksamhet;medlem;587
2011;maj;kulturenilund;verksamhet;grupp;701
2011;jun;kulturenilund;verksamhet;vuxen;1547
2011;jun;kulturenilund;verksamhet;konferens;194
2011;jun;kulturenilund;verksamhet;student;458
2011;jun;kulturenilund;verksamhet;barn;1632
2011;jun;kulturenilund;verksamhet;rabatt;148
2011;jun;kulturenilund;verksamhet;fri-vuxen;1347
2011;jun;kulturenilund;verksamhet;skola-allt;1299
2011;jun;kulturenilund;verksamhet;pensionär;528
2011;jun;kulturenilund;verksamhet;medlem;706
2011;jun;kulturenilund;verksamhet;grupp;224
2011;jul;kulturenilund;verksamhet;vuxen;3018
2011;jul;kulturenilund;verksamhet;konferens;0
2011;jul;kulturenilund;verksamhet;student;390
2011;jul;kulturenilund;verksamhet;barn;2772
2011;jul;kulturenilund;verksamhet;rabatt;209
2011;jul;kulturenilund;verksamhet;fri-vuxen;341
2011;jul;kulturenilund;verksamhet;skola-allt;230
2011;jul;kulturenilund;verksamhet;pensionär;844
2011;jul;kulturenilund;verksamhet;medlem;509
2011;jul;kulturenilund;verksamhet;grupp;78
2011;aug;kulturenilund;verksamhet;vuxen;1673
2011;aug;kulturenilund;verksamhet;konferens;195
2011;aug;kulturenilund;verksamhet;student;366
2011;aug;kulturenilund;verksamhet;barn;1145
2011;aug;kulturenilund;verksamhet;rabatt;158
2011;aug;kulturenilund;verksamhet;fri-vuxen;233
2011;aug;kulturenilund;verksamhet;skola-allt;831
2011;aug;kulturenilund;verksamhet;pensionär;646
2011;aug;kulturenilund;verksamhet;medlem;376
2011;aug;kulturenilund;verksamhet;grupp;278
2011;sep;kulturenilund;verksamhet;vuxen;499
2011;sep;kulturenilund;verksamhet;konferens;768
2011;sep;kulturenilund;verksamhet;student;138
2011;sep;kulturenilund;verksamhet;barn;501
2011;sep;kulturenilund;verksamhet;rabatt;22
2011;sep;kulturenilund;verksamhet;fri-vuxen;1992
2011;sep;kulturenilund;verksamhet;skola-allt;1342
2011;sep;kulturenilund;verksamhet;pensionär;201
2011;sep;kulturenilund;verksamhet;medlem;202
2011;sep;kulturenilund;verksamhet;grupp;110
2011;okt;kulturenilund;verksamhet;vuxen;737
2011;okt;kulturenilund;verksamhet;konferens;556
2011;okt;kulturenilund;verksamhet;student;226
2011;okt;kulturenilund;verksamhet;barn;441
2011;okt;kulturenilund;verksamhet;rabatt;26
2011;okt;kulturenilund;verksamhet;fri-vuxen;384
2011;okt;kulturenilund;verksamhet;skola-allt;1175
2011;okt;kulturenilund;verksamhet;pensionär;180
2011;okt;kulturenilund;verksamhet;medlem;272
2011;okt;kulturenilund;verksamhet;grupp;104
2011;nov;kulturenilund;verksamhet;vuxen;3086
2011;nov;kulturenilund;verksamhet;konferens;464
2011;nov;kulturenilund;verksamhet;student;1188
2011;nov;kulturenilund;verksamhet;barn;2426
2011;nov;kulturenilund;verksamhet;rabatt;31
2011;nov;kulturenilund;verksamhet;fri-vuxen;697
2011;nov;kulturenilund;verksamhet;skola-allt;1044
2011;nov;kulturenilund;verksamhet;pensionär;481
2011;nov;kulturenilund;verksamhet;medlem;1467
2011;nov;kulturenilund;verksamhet;grupp;326
2011;dec;kulturenilund;verksamhet;vuxen;734
2011;dec;kulturenilund;verksamhet;konferens;114
2011;dec;kulturenilund;verksamhet;student;166
2011;dec;kulturenilund;verksamhet;barn;498
2011;dec;kulturenilund;verksamhet;rabatt;23
