datum;dagsrapport
2026-05-11;Universitetet höll en Open day för studenter under förmiddagen, de kom och gick i omgångar. Ett par förskolor har besökt lekplatsen och Madicken på egen hand. Årskurs 5 från Bilingual Montessori School gick i mindre grupper på egen hand och en årskurs 7 från Tolvåkersskolan, Löddeköping, gick också på egen hand och var lite stökiga, vi pratade med lärarna om detta. Monika L hade en introduktion av friluftsmuseét efter stängning. 
2026-05-10;Folkmusikens dag idag och många folkklädda, dans- och spelglada personer besökte oss. Utöver det var det även dag 2 av seminariet för Svenska folkdansringen. Lina Odell hade boksignering i trädgårdsrummet även idag. Jessica hade en visning av Metropolis för 6 personer. Emma visade Blekingegården och Tavelgången för 8 personer. AHa! Guide & Aktivitet besökte för att gå runt på egen hand med 35 personer.
2026-05-09;Svenska Folkdansringen besökte för att gå runt på egen hand och för ett seminarium i Hornsbergssalen, de var 21 personer. Blodsjukas förening i Södra sjukvårdsregionen besökte för en visning av Friluftsmuseet, de var 25 personer. Emma höll visningen "Häcken full" för 4 barn och 6 vuxna. Lina Odell signerar böcker i trädgårdsrummet under dagen. Drop-in pyssel i verkstan med Emma, det kom 12 barn och 11 vuxna.
2026-05-08;Idag kom dressinens förskola kl 9 för att leka hos Madicken och på lekplatsen, de var 13 barn och 3 pedagoger. Freinetskolan årskurs 1 i Lund gick på museet, de var 17 elever och 4 lärare. 10.00 gick Polhemskolan Människorna i huset med Monika.  De var 15 elever och 2 lärare personer. KSU kom hit med 3 elever och 4 lärare. Stiftelsen Biligual Montessori School of Lund kom hit kl 10 för att vara på Madicken lekutställning, 9 elever och 3 pedagoger. 
2026-05-07;Ola höll en engelsk visning av Friluftsmuseet för 12 st spanska elever som är på besök hos ProCivitas Gymnasium. Ölyckeskolans ÅK3 gick själva runt på museet, de var 24 barn och 3 lärare. Munspelets skola ÅK0 åt medhavd matsäck på gräsmattan intill Bosebo och lekte sedan på lekplatsen, totalt 50 st. Kiki Lindell med 6 st var ute i parken under förmiddagen och övade Shakespeare ute i parken inför sommaren. Föreningen Inner Wheel fick en introduktion av friluftsmuseet av Jessica. International School of Lund gick själva på området efter lunch, de var 16 barn och 5 lärare. Svenska Kyrkan var här med 3 st grupper som fick varsin visning och fikade sen på  vårt kafé, de var totalt 38 st. Live-sändning via nätet från Dräktmod med Karin för Dalarnas, Hälsinglands, Västerbotten och Sörmlands museer samt Historical Textiles. Det är en serie som de kallar Dräkttorsdag som brukar ha ca 150-200 lyssnare. Föreningen Gamla Lund organiserade föredrag i auditoriet med Eskil Fagerström "Historien om Lund", det kom ca 145 pers. Ingen deltagare idag på visningen av Thomanders som skulle varit med Jessica. 
2026-05-06;Montessoriförskolan Barnens Hus lekte på lekplatsen under morgonen, de var 13 barn och 4 lärare. Vid öppning kom Stinsgårdens förskola för att leka i lekutställningen, de var 8 barn och 2 lärare. Institutionen för Kulturvetenskaper var här med en grupp om 30 st för att gå själva i våra utställningar under förmiddag/lunch. Karin Hi höll visning för Hemslöjden Östa Skåne i Dräktmod, de var 18 st. En grupp lärare om 15 pers gick själva på området för att titta på Intendentbostadens utsida för inspiration. Vi fick ett spontanbesök av en grupp turister från Polen som själva gick runt på området, de var totalt 35 st. Fäladsgården var på besök med en del utbytesstudenter från Frankrike som själva gick runt på området, de var 50 elever och 4 lärare. Hedda Anderssongymnasiet gick själva med KKL i Fokus Sápmi, de var 8 st. Onsdagsvisningen med Karin Hi i Uppklädd lockade idag 14 st! Lunds Måltidsgille höll till i auditoriet där de höll ett föredrag med Leif Mannerström, de var 70 st. Idag fick vi 7 nya medlemmar!
2026-05-05;Lunds kommun Vård & Omsorg använde under dagen Hornsbergssalen för att hålla ett möte som inkluderade både visning av friluftsmuseet och mat från restaurangen, 18 pers. Erik Philip-Sörensens stiftelse höll ett minnesseminarium i auditoriet under hela dagen där de hade bokat förtäring i Trädgårdsrummet från restaurangen, de var ca 60 st. Vid öppning kom Påskagänget ÅK2 för att leka i Madicken, de var 22 barn och 3 lärare. Vid lunch kom andra ÅK2 klassen från Påskagänget skola för att också leka i Madicken, denna grupp var 22 barn och 4 lärare. Pauliskolan Gy1-3 var med tre klasser från Samhällsprogrammet med inriktning på beteendevetenskap där Mattias, Annika och Ola höll varsin visning/klass i En annan värld, 2 tjugotal och Friluftsmuseet, de var totalt 71 st. Svenska Kyrkan fick visningar av Jessica och Ola i friluftsmuseet, de var 35 st. Efter lunch fick Apelskolans ÅK6 en visning med Johanna av Häcken Full, de var 9 elever och 2 lärare. Under eftermiddagen kom Pauliskolan med ytterligare tre Gy1-3 klassen som denna gången fick visning av Mattias, Ola och Yvonne, de var 53 elever och 4 lärare. Gymnasieskolan Vipan gick själva på området med besök av elever och lärare från Frankrike, de var totalt 24 st. Under kvällen var det svartsmide i smedjan, 6 pers. Idag fick vi 4 nya medlemmar!
2026-05-04;En lugn dag... Mestadels barnfamiljer och turister. Fyra nya medlemmar.
2026-05-03;Solig med lite svalare dag med lite mindre besökare än igår. En del franska, amerikanska och holländska turister. Många glada och nostalgiska Lützen-diorama besökare. En grupp med 18 pers från Burlövs folkdansgille besökte oss tillsammans med en körkortslärare. Två visningar på programmet, en introduktion av museet med Ola och en fika-visning med Jessica. Tyvärr kom det inga på den första och på fika-visningen kom det 2 pers. 5 nya medlemmar idag. 
2026-05-02;Strålande sol! Två visningar på programmet idag. Jessica hade en visning av Dekanhuset för 7 personer. Och Ola visade 2 tjugotal för 2 antal. Drop-in pyssel med Siri, 10 barn och 9 vuxna deltog. Föreningen Societas Ad Sciendum hade ett arrangemang i auditoriet med 80 personer. 3 nya medlemmar idag. 
