år;mån;datum;kategori;betalkat;betald;antal
2013;mar;2013-03-29;bröllop;ja;ja;15
2013;jul;2013-07-20;bröllop;ja;ja;72
2013;jul;2013-07-27;bröllop;ja;ja;60
2013;aug;2013-08-17;bröllop;ja;ja;50
2013;sep;2013-09-07;bröllop;ja;ja;45
2014;jun;2014-06-14;bröllop;ja;ja;60
2014;aug;2014-08-16;bröllop;ja;ja;70
2015;maj;2015-05-02;bröllop;ja;ja;75
2015;maj;2015-05-15;bröllop;ja;ja;30
2015;sep;2015-09-12;bröllop;ja;ja;60
2016;maj;2016-05-28;bröllop;ja;ja;60
2016;jun;2016-06-18;bröllop;ja;ja;30
2016;jul;2016-07-16;bröllop;ja;ja;55
2016;jul;2016-07-30;bröllop;ja;ja;80
2016;aug;2016-08-13;bröllop;ja;ja;65
2017;jul;2017-07-22;bröllop;ja;ja;80
2017;aug;2017-08-26;bröllop;ja;ja;80
2018;jul;2018-07-29;bröllop;ja;ja;15
2019;maj;2019-05-11;bröllop;ja;ja;80
2020;aug;2020-08-15;bröllop;ja;ja;20
2022;jul;2022-07-01;bröllop;ja;ja;70
2022;jul;2022-07-02;bröllop;ja;ja;50
2022;aug;2022-08-27;bröllop;ja;ja;100
2022;okt;2022-10-22;bröllop;ja;ja;80
2023;apr;2023-04-01;bröllop;ja;ja;68
2023;jun;2023-06-30;bröllop;ja;ja;60
2023;jul;2023-07-01;bröllop;ja;ja;58
2023;jul;2023-07-15;bröllop;ja;ja;36
2023;nov;2023-11-05;bröllop;ja;ja;14
2024;sep;2024-09-14;bröllop;ja;ja;48
2025;jan;2025-01-05;bröllop;ja;ja;20
2025;feb;2025-02-19;bröllop;ja;ja;10
2025;mar;2025-03-28;bröllop;ja;ja;5
2025;jun;2025-06-14;bröllop;ja;ja;23
2025;aug;2025-08-02;bröllop;ja;ja;23
2025;aug;2025-08-30;bröllop;ja;ja;22
2026;feb;2026-02-28;bröllop;ja;ja;24
2026;maj;2026-05-25;bröllop;ja;ja;6
2012;sep;2012-09-16;barnkalas;ja;ja;30
2012;sep;2012-09-22;barnkalas;ja;ja;24
2012;okt;2012-10-06;barnkalas;ja;ja;15
2012;okt;2012-10-13;barnkalas;ja;ja;15
2012;okt;2012-10-20;barnkalas;ja;ja;20
2012;okt;2012-10-27;barnkalas;ja;ja;30
2012;nov;2012-11-03;barnkalas;ja;ja;20
2012;nov;2012-11-10;barnkalas;ja;ja;20
2012;nov;2012-11-17;barnkalas;ja;ja;25
2012;nov;2012-11-24;barnkalas;ja;ja;30
2012;nov;2012-11-25;barnkalas;ja;ja;30
2012;dec;2012-12-08;barnkalas;ja;ja;25
2012;dec;2012-12-08;barnkalas;ja;ja;25
2012;dec;2012-12-08;barnkalas;ja;ja;25
2012;dec;2012-12-15;barnkalas;ja;ja;25
2012;dec;2012-12-15;barnkalas;ja;ja;25
2012;dec;2012-12-15;barnkalas;ja;ja;25
2013;jan;2013-01-04;barnkalas;ja;ja;20
2013;jan;2013-01-05;barnkalas;ja;ja;18
2013;jan;2013-01-05;barnkalas;ja;ja;30
2013;jan;2013-01-05;barnkalas;ja;ja;30
2013;feb;2013-02-16;barnkalas;ja;ja;20
2013;feb;2013-02-17;barnkalas;ja;ja;12
2013;mar;2013-03-17;barnkalas;ja;ja;14
2013;mar;2013-03-23;barnkalas;ja;ja;28
2013;apr;2013-04-06;barnkalas;ja;ja;13
2013;apr;2013-04-07;barnkalas;ja;ja;25
2013;apr;2013-04-13;barnkalas;ja;ja;18
2013;apr;2013-04-14;barnkalas;ja;ja;20
2013;apr;2013-04-20;barnkalas;ja;ja;20
2013;apr;2013-04-25;barnkalas;ja;ja;25
2013;apr;2013-04-25;barnkalas;ja;ja;25
2013;maj;2013-05-04;barnkalas;ja;ja;30
2013;maj;2013-05-05;barnkalas;ja;ja;20
2013;maj;2013-05-11;barnkalas;ja;ja;15
2013;maj;2013-05-18;barnkalas;ja;ja;25
2013;maj;2013-05-26;barnkalas;ja;ja;20
2013;jun;2013-06-20;barnkalas;ja;ja;20
2013;jun;2013-06-20;barnkalas;ja;ja;20
2013;jun;2013-06-30;barnkalas;ja;ja;20
2013;aug;2013-08-25;barnkalas;ja;ja;9
2013;aug;2013-08-25;barnkalas;ja;ja;9
2013;sep;2013-09-14;barnkalas;ja;ja;15
2013;sep;2013-09-22;barnkalas;ja;ja;20
2013;sep;2013-09-29;barnkalas;ja;ja;25
2013;okt;2013-10-13;barnkalas;ja;ja;19
2013;okt;2013-10-19;barnkalas;ja;ja;15
2013;okt;2013-10-20;barnkalas;ja;ja;16
2013;okt;2013-10-27;barnkalas;ja;ja;21
2013;nov;2013-11-10;barnkalas;ja;ja;20
2013;nov;2013-11-17;barnkalas;ja;ja;30
2013;nov;2013-11-17;barnkalas;ja;ja;30
2013;nov;2013-11-17;barnkalas;ja;ja;30
2013;nov;2013-11-23;barnkalas;ja;ja;24
2013;nov;2013-11-24;barnkalas;ja;ja;14
2013;dec;2013-12-08;barnkalas;ja;ja;22
2013;dec;2013-12-15;barnkalas;ja;ja;20
2013;dec;2013-12-21;barnkalas;ja;ja;20
2014;feb;2014-02-01;barnkalas;ja;ja;15
2014;feb;2014-02-09;barnkalas;ja;ja;25
2014;feb;2014-02-09;barnkalas;ja;ja;12
2014;feb;2014-02-23;barnkalas;ja;ja;22
2014;mar;2014-03-02;barnkalas;ja;ja;15
2014;mar;2014-03-23;barnkalas;ja;ja;25
2014;apr;2014-04-06;barnkalas;ja;ja;20
2014;apr;2014-04-13;barnkalas;ja;ja;15
2014;apr;2014-04-26;barnkalas;ja;ja;15
2014;apr;2014-04-27;barnkalas;ja;ja;25
2014;maj;2014-05-03;barnkalas;ja;ja;15
2014;maj;2014-05-04;barnkalas;ja;ja;27
2014;maj;2014-05-10;barnkalas;ja;ja;25
2014;maj;2014-05-11;barnkalas;ja;ja;20
2014;maj;2014-05-25;barnkalas;ja;ja;25
2014;jun;2014-06-01;barnkalas;ja;ja;12
2014;jun;2014-06-07;barnkalas;ja;ja;22
2014;jun;2014-06-07;barnkalas;ja;ja;20
2014;jun;2014-06-14;barnkalas;ja;ja;25
2014;jun;2014-06-14;barnkalas;ja;ja;25
2014;jun;2014-06-14;barnkalas;ja;ja;20
2014;jun;2014-06-22;barnkalas;ja;ja;10
2014;aug;2014-08-02;barnkalas;ja;ja;12
2014;aug;2014-08-16;barnkalas;ja;ja;30
2014;aug;2014-08-23;barnkalas;ja;ja;30
2014;sep;2014-09-06;barnkalas;ja;ja;12
2014;sep;2014-09-06;barnkalas;ja;ja;25
2014;sep;2014-09-07;barnkalas;ja;ja;20
2014;sep;2014-09-14;barnkalas;ja;ja;17
2014;sep;2014-09-27;barnkalas;ja;ja;15
2014;okt;2014-10-19;barnkalas;ja;ja;20
2014;okt;2014-10-25;barnkalas;ja;ja;25
2014;okt;2014-10-26;barnkalas;ja;ja;25
2014;okt;2014-10-26;barnkalas;ja;ja;22
2014;nov;2014-11-02;barnkalas;ja;ja;20
2014;nov;2014-11-08;barnkalas;ja;ja;20
2014;nov;2014-11-08;barnkalas;ja;ja;10
2014;nov;2014-11-09;barnkalas;ja;ja;15
2014;nov;2014-11-15;barnkalas;ja;ja;30
2014;nov;2014-11-16;barnkalas;ja;ja;20
2014;nov;2014-11-16;barnkalas;ja;ja;14
2014;nov;2014-11-22;barnkalas;ja;ja;25
2014;nov;2014-11-22;barnkalas;ja;ja;25
2014;nov;2014-11-23;barnkalas;ja;ja;17
2014;dec;2014-12-06;barnkalas;ja;ja;13
2015;jan;2015-01-18;barnkalas;ja;ja;25
2015;jan;2015-01-31;barnkalas;ja;ja;24
2015;jan;2015-01-31;barnkalas;ja;ja;20
2015;feb;2015-02-08;barnkalas;ja;ja;15
2015;feb;2015-02-14;barnkalas;ja;ja;18
2015;mar;2015-03-08;barnkalas;ja;ja;20
2015;mar;2015-03-08;barnkalas;ja;ja;28
2015;mar;2015-03-22;barnkalas;ja;ja;24
2015;apr;2015-04-11;barnkalas;ja;ja;26
2015;apr;2015-04-12;barnkalas;ja;ja;21
2015;apr;2015-04-18;barnkalas;ja;ja;25
2015;apr;2015-04-18;barnkalas;ja;ja;20
2015;apr;2015-04-26;barnkalas;ja;ja;20
2015;apr;2015-04-28;barnkalas;ja;ja;12
2015;maj;2015-05-01;barnkalas;ja;ja;12
2015;maj;2015-05-02;barnkalas;ja;ja;23
2015;maj;2015-05-03;barnkalas;ja;ja;25
2015;maj;2015-05-03;barnkalas;ja;ja;12
2015;maj;2015-05-09;barnkalas;ja;ja;25
2015;maj;2015-05-09;barnkalas;ja;ja;20
2015;maj;2015-05-16;barnkalas;ja;ja;25
2015;maj;2015-05-24;barnkalas;ja;ja;15
2015;jun;2015-06-07;barnkalas;ja;ja;15
2015;jun;2015-06-07;barnkalas;ja;ja;20
2015;aug;2015-08-23;barnkalas;ja;ja;18
2015;aug;2015-08-23;barnkalas;ja;ja;30
2015;sep;2015-09-13;barnkalas;ja;ja;20
2015;sep;2015-09-19;barnkalas;ja;ja;25
2015;sep;2015-09-20;barnkalas;ja;ja;25
2015;okt;2015-10-03;barnkalas;ja;ja;25
2015;okt;2015-10-04;barnkalas;ja;ja;16
2015;okt;2015-10-10;barnkalas;ja;ja;20
2015;okt;2015-10-24;barnkalas;ja;ja;10
2015;nov;2015-11-15;barnkalas;ja;ja;10
2016;jan;2016-01-05;barnkalas;ja;ja;25
2016;jan;2016-01-16;barnkalas;ja;ja;20
2016;jan;2016-01-24;barnkalas;ja;ja;20
2016;feb;2016-02-07;barnkalas;ja;ja;25
2017;jan;2017-01-21;barnkalas;ja;ja;20
2017;maj;2017-05-13;barnkalas;ja;ja;20
2017;aug;2017-08-20;barnkalas;ja;ja;20
2017;aug;2017-08-26;barnkalas;ja;ja;10
2017;okt;2017-10-08;barnkalas;ja;ja;25
2018;aug;2018-08-19;barnkalas;ja;ja;25
2018;sep;2018-09-08;barnkalas;ja;ja;20
2018;sep;2018-09-09;barnkalas;ja;ja;15
2018;okt;2018-10-07;barnkalas;ja;ja;12
2019;feb;2019-02-09;barnkalas;ja;ja;15
2019;feb;2019-02-10;barnkalas;ja;ja;21
2019;aug;2019-08-17;barnkalas;ja;ja;12
2019;aug;2019-08-31;barnkalas;ja;ja;25
2019;okt;2019-10-20;barnkalas;ja;ja;20
2019;okt;2019-10-26;barnkalas;ja;ja;20
2019;dec;2019-12-08;barnkalas;ja;ja;12
2020;nov;2020-11-14;barnkalas;ja;ja;20
2022;apr;2022-04-10;barnkalas;ja;ja;18
2022;maj;2022-05-29;barnkalas;ja;ja;20
2022;jun;2022-06-04;barnkalas;ja;ja;20
2022;jun;2022-06-19;barnkalas;ja;ja;15
2022;sep;2022-09-04;barnkalas;ja;ja;20
2022;sep;2022-09-25;barnkalas;ja;ja;10
2022;okt;2022-10-01;barnkalas;ja;ja;25
2022;nov;2022-11-13;barnkalas;ja;ja;42
2022;dec;2022-12-04;barnkalas;ja;ja;25
2023;jun;2023-06-10;barnkalas;ja;ja;18
2023;aug;2023-08-12;barnkalas;ja;ja;20
2023;aug;2023-08-19;barnkalas;ja;ja;20
2023;aug;2023-08-26;barnkalas;ja;ja;26
2023;sep;2023-09-30;barnkalas;ja;ja;12
2023;okt;2023-10-21;barnkalas;ja;ja;17
2024;maj;2024-05-25;barnkalas;ja;ja;30
2024;jun;2024-06-08;barnkalas;ja;ja;24
2024;jun;2024-06-30;barnkalas;ja;ja;21
2025;apr;2025-04-06;barnkalas;ja;ja;15
2025;maj;2025-05-25;barnkalas;ja;ja;25
2025;aug;2025-08-23;barnkalas;ja;ja;10
2025;nov;2025-11-09;barnkalas;ja;ja;31
2025;nov;2025-11-22;barnkalas;ja;ja;25
2025;dec;2025-12-14;barnkalas;ja;ja;28
2026;mar;2026-03-01;barnkalas;ja;ja;30
2026;mar;2026-03-15;barnkalas;ja;ja;12
2026;maj;2026-05-24;barnkalas;ja;ja;17
2009;maj;2009-05-11;konferens;nej;nej;10
2009;maj;2009-05-12;konferens;nej;nej;70
2009;maj;2009-05-15;konferens;nej;nej;90
2009;maj;2009-05-18;konferens;nej;nej;4
2009;maj;2009-05-23;konferens;nej;nej;460
2009;maj;2009-05-29;konferens;nej;nej;35
2009;jun;2009-06-11;konferens;nej;nej;20
2009;jun;2009-06-23;konferens;nej;nej;75
2009;aug;2009-08-25;konferens;nej;nej;200
2009;aug;2009-08-26;konferens;nej;nej;150
2009;aug;2009-08-31;konferens;nej;nej;130
2009;sep;2009-09-01;konferens;nej;nej;238
2009;sep;2009-09-02;konferens;nej;nej;40
2009;sep;2009-09-08;konferens;nej;nej;120
2009;sep;2009-09-10;konferens;nej;nej;80
2009;sep;2009-09-11;konferens;nej;nej;60
2009;sep;2009-09-24;konferens;nej;nej;45
2009;sep;2009-09-25;konferens;nej;nej;35
2009;okt;2009-10-04;konferens;nej;nej;80
2009;okt;2009-10-05;konferens;nej;nej;55
2009;okt;2009-10-06;konferens;nej;nej;50
2009;okt;2009-10-13;konferens;nej;nej;82
2009;okt;2009-10-20;konferens;nej;nej;105
2009;okt;2009-10-23;konferens;nej;nej;150
2009;okt;2009-10-28;konferens;nej;nej;80
2009;nov;2009-11-04;konferens;nej;nej;115
2009;nov;2009-11-05;konferens;nej;nej;100
2009;nov;2009-11-17;konferens;nej;nej;182
2009;nov;2009-11-17;konferens;nej;nej;60
2009;nov;2009-11-25;konferens;nej;nej;345
2009;nov;2009-11-28;konferens;nej;nej;1
2009;dec;2009-12-02;konferens;nej;nej;60
2009;dec;2009-12-04;konferens;nej;nej;200
2009;dec;2009-12-11;konferens;nej;nej;75
2010;jan;2010-01-20;konferens;nej;nej;70
2010;jan;2010-01-28;konferens;nej;nej;200
2010;jan;2010-01-31;konferens;nej;nej;99
2010;feb;2010-02-05;konferens;nej;nej;50
2010;feb;2010-02-12;konferens;nej;nej;30
2010;feb;2010-02-16;konferens;nej;nej;130
2010;feb;2010-02-24;konferens;nej;nej;60
2010;mar;2010-03-03;konferens;nej;nej;21
2010;mar;2010-03-11;konferens;nej;nej;35
2010;mar;2010-03-17;konferens;nej;nej;88
2010;mar;2010-03-19;konferens;nej;nej;20
2010;mar;2010-03-24;konferens;nej;nej;50
2010;apr;2010-04-06;konferens;nej;nej;120
2010;apr;2010-04-09;konferens;nej;nej;56
2010;apr;2010-04-13;konferens;nej;nej;100
2010;apr;2010-04-13;konferens;nej;nej;40
2010;apr;2010-04-16;konferens;nej;nej;40
2010;apr;2010-04-27;konferens;nej;nej;100
2010;maj;2010-05-07;konferens;nej;nej;130
2010;maj;2010-05-08;konferens;nej;nej;194
2010;maj;2010-05-11;konferens;nej;nej;58
2010;maj;2010-05-27;konferens;nej;nej;40
2010;maj;2010-05-29;konferens;nej;nej;254
2010;jun;2010-06-15;konferens;nej;nej;110
2010;aug;2010-08-30;konferens;nej;nej;65
2010;aug;2010-08-31;konferens;nej;nej;85
2010;sep;2010-09-01;konferens;nej;nej;80
2010;sep;2010-09-02;konferens;nej;nej;70
2010;sep;2010-09-03;konferens;nej;nej;55
2010;sep;2010-09-03;konferens;nej;nej;22
2010;sep;2010-09-06;konferens;nej;nej;80
2010;sep;2010-09-14;konferens;nej;nej;18
2010;sep;2010-09-15;konferens;nej;nej;100
2010;sep;2010-09-15;konferens;nej;nej;20
2010;sep;2010-09-16;konferens;nej;nej;45
2010;sep;2010-09-19;konferens;nej;nej;10
2010;sep;2010-09-21;konferens;nej;nej;6
2010;sep;2010-09-22;konferens;nej;nej;75
2010;sep;2010-09-23;konferens;nej;nej;8
2010;sep;2010-09-24;konferens;nej;nej;5
2010;okt;2010-10-01;konferens;nej;nej;50
2010;okt;2010-10-02;konferens;nej;nej;100
2010;okt;2010-10-07;konferens;nej;nej;80
2010;okt;2010-10-10;konferens;nej;nej;22
2010;okt;2010-10-15;konferens;nej;nej;50
2010;okt;2010-10-28;konferens;nej;nej;71
2010;nov;2010-11-03;konferens;nej;nej;60
2010;nov;2010-11-09;konferens;nej;nej;50
2010;nov;2010-11-11;konferens;nej;nej;160
2010;nov;2010-11-16;konferens;nej;nej;280
2010;nov;2010-11-18;konferens;nej;nej;100
2010;dec;2010-12-08;konferens;nej;nej;86
2010;dec;2010-12-09;konferens;nej;nej;70
2010;dec;2010-12-10;konferens;nej;nej;30
2010;dec;2010-12-15;konferens;nej;nej;50
2010;dec;2010-12-16;konferens;nej;nej;20
2011;jan;2011-01-08;konferens;nej;nej;65
2011;jan;2011-01-17;konferens;nej;nej;160
2011;jan;2011-01-19;konferens;nej;nej;130
2011;jan;2011-01-20;konferens;nej;nej;80
2011;jan;2011-01-21;konferens;nej;nej;60
2011;jan;2011-01-24;konferens;nej;nej;100
2011;jan;2011-01-27;konferens;nej;nej;90
2011;jan;2011-01-28;konferens;nej;nej;80
2011;feb;2011-02-16;konferens;nej;nej;80
2011;feb;2011-02-23;konferens;nej;nej;16
2011;feb;2011-02-25;konferens;nej;nej;80
2011;feb;2011-02-28;konferens;nej;nej;45
2011;mar;2011-03-05;konferens;nej;nej;65
2011;mar;2011-03-08;konferens;nej;nej;105
2011;mar;2011-03-09;konferens;nej;nej;85
2011;mar;2011-03-10;konferens;nej;nej;55
2011;mar;2011-03-11;konferens;nej;nej;80
2011;mar;2011-03-17;konferens;nej;nej;35
2011;mar;2011-03-23;konferens;nej;nej;50
2011;mar;2011-03-25;konferens;nej;nej;65
2011;apr;2011-04-08;konferens;nej;nej;65
2011;apr;2011-04-15;konferens;nej;nej;5
2011;apr;2011-04-27;konferens;nej;nej;55
2011;maj;2011-05-03;konferens;nej;nej;215
2011;maj;2011-05-04;konferens;nej;nej;246
2011;maj;2011-05-05;konferens;nej;nej;55
2011;maj;2011-05-13;konferens;nej;nej;45
2011;maj;2011-05-19;konferens;nej;nej;170
2011;maj;2011-05-26;konferens;nej;nej;20
2011;maj;2011-05-27;konferens;nej;nej;80
2011;maj;2011-05-28;konferens;nej;nej;80
