posttyp;periodtyp;år;månad;datum;besöksmål;besökstyp;vuxen;barn;student;pensionär;medlem;rabatt;fri_vuxen;skola;skola_barn;konferens;grupp;total;belopp;intäktstyp;kommun;skolnivå;gruppkategori;betalkategori;betald;dagsrapport;notering
skolbesök;månad;2018;Nov;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2018;Nov;;kulturenilund;vbesok;;;;;;;;129;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2018;Nov;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2018;Nov;;kulturenilund;vbesok;;;;;;;;16;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2018;Dec;;kulturenilund;vbesok;;;;;;;;30;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2018;Dec;;kulturenilund;vbesok;;;;;;;;47;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2018;Dec;;kulturenilund;vbesok;;;;;;;;132;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2018;Dec;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2019;Jan;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Eslöv;Förskola;;nej;;;
skolbesök;månad;2019;Jan;;kulturenilund;vbesok;;;;;;;;121;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Jan;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Jan;;kulturenilund;vbesok;;;;;;;;2;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2019;Feb;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2019;Feb;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Helsingborg;Förskola;;nej;;;
skolbesök;månad;2019;Feb;;kulturenilund;vbesok;;;;;;;;14;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Feb;;kulturenilund;vbesok;;;;;;;;305;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Feb;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2019;Mar;;kulturenilund;vbesok;;;;;;;;271;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Apr;;kulturenilund;vbesok;;;;;;;;296;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Apr;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Apr;;kulturenilund;vbesok;;;;;;;;14;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Burlöv;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;20;ja;;;;;;Eslöv;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;14;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;9;ja;;;;;;Kristianstad;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;70;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;29;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;327;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;58;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;5;ja;;;;;;Sjöbo;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Skurup;Förskola;;nej;;;
skolbesök;månad;2019;Maj;;kulturenilund;vbesok;;;;;;;;35;ja;;;;;;Trelleborg;Förskola;;nej;;;
skolbesök;månad;2019;Jun;;kulturenilund;vbesok;;;;;;;;11;ja;;;;;;Höör;Förskola;;nej;;;
skolbesök;månad;2019;Jun;;kulturenilund;vbesok;;;;;;;;224;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Jun;;kulturenilund;vbesok;;;;;;;;42;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Jun;;kulturenilund;vbesok;;;;;;;;9;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2019;Jul;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Jul;;kulturenilund;vbesok;;;;;;;;155;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Jul;;kulturenilund;vbesok;;;;;;;;22;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Aug;;kulturenilund;vbesok;;;;;;;;32;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Aug;;kulturenilund;vbesok;;;;;;;;31;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Aug;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Staffanstorp;Förskola;;nej;;;
skolbesök;månad;2019;Sep;;kulturenilund;vbesok;;;;;;;;73;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Sep;;kulturenilund;vbesok;;;;;;;;44;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2019;Okt;;kulturenilund;vbesok;;;;;;;;17;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Okt;;kulturenilund;vbesok;;;;;;;;202;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Okt;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Sjöbo;Förskola;;nej;;;
skolbesök;månad;2019;Nov;;kulturenilund;vbesok;;;;;;;;133;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2019;Nov;;kulturenilund;vbesok;;;;;;;;58;ja;;;;;;Sjöbo;Förskola;;nej;;;
skolbesök;månad;2019;Dec;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Dec;;kulturenilund;vbesok;;;;;;;;148;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jan;;kulturenilund;vbesok;;;;;;;;120;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jan;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Landskrona;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;330;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;18;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Mar;;kulturenilund;vbesok;;;;;;;;225;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Apr;;kulturenilund;vbesok;;;;;;;;113;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Maj;;kulturenilund;vbesok;;;;;;;;176;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Maj;;kulturenilund;vbesok;;;;;;;;23;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Jun;;kulturenilund;vbesok;;;;;;;;165;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jul;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Aug;;kulturenilund;vbesok;;;;;;;;16;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Sep;;kulturenilund;vbesok;;;;;;;;143;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Okt;;kulturenilund;vbesok;;;;;;;;175;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Okt;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Nov;;kulturenilund;vbesok;;;;;;;;123;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Nov;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Dec;;kulturenilund;vbesok;;;;;;;;47;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Jan;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Feb;;kulturenilund;vbesok;;;;;;;;59;ja;;;;;;Lund;Förskola;;nej;;;
