år;månad;kommun;skolnivå;skolkategori;antal
2011;Jan;;;skola-barn;550
2011;Jan;;;skola-vuxen;324
2011;Feb;;;skola-barn;605
2011;Feb;;;skola-vuxen;255
2011;Mar;;;skola-barn;1273
2011;Mar;;;skola-vuxen;166
2011;Apr;;;skola-barn;1486
2011;Apr;;;skola-vuxen;117
2011;Maj;;;skola-barn;1603
2011;Maj;;;skola-vuxen;501
2011;Jun;;;skola-barn;1156
2011;Jun;;;skola-vuxen;143
2011;Jul;;;skola-barn;201
2011;Jul;;;skola-vuxen;29
2011;Aug;;;skola-barn;568
2011;Aug;;;skola-vuxen;263
2011;Sep;;;skola-barn;855
2011;Sep;;;skola-vuxen;487
2011;Okt;;;skola-barn;1094
2011;Okt;;;skola-vuxen;81
2011;Nov;;;skola-barn;905
2011;Nov;;;skola-vuxen;139
2011;Dec;;;skola-barn;1299
2011;Dec;;;skola-vuxen;292
2012;Jan;;;skola-barn;541
2012;Jan;;;skola-vuxen;63
2012;Feb;;;skola-barn;657
2012;Feb;;;skola-vuxen;49
2012;Mar;;;skola-barn;993
2012;Mar;;;skola-vuxen;179
2012;Apr;;;skola-barn;1193
2012;Apr;;;skola-vuxen;61
2012;Maj;;;skola-barn;3091
2012;Maj;;;skola-vuxen;152
2012;Jun;;;skola-barn;1553
2012;Jun;;;skola-vuxen;106
2012;Jul;;;skola-barn;394
2012;Jul;;;skola-vuxen;32
2012;Aug;;;skola-barn;458
2012;Aug;;;skola-vuxen;19
2012;Sep;;;skola-barn;953
2012;Sep;;;skola-vuxen;145
2012;Okt;;;skola-barn;1194
2012;Okt;;;skola-vuxen;289
2012;Nov;;;skola-barn;1823
2012;Nov;;;skola-vuxen;111
2012;Dec;;;skola-barn;1652
2012;Dec;;;skola-vuxen;163
2013;Jan;;;skola-barn;291
2013;Jan;;;skola-vuxen;59
2013;Feb;;;skola-barn;580
2013;Feb;;;skola-vuxen;90
2013;Mar;;;skola-barn;1201
2013;Mar;;;skola-vuxen;70
2013;Apr;;;skola-barn;1711
2013;Apr;;;skola-vuxen;261
2013;Maj;;;skola-barn;2119
2013;Maj;;;skola-vuxen;196
2013;Jun;;;skola-barn;1209
2013;Jun;;;skola-vuxen;84
2013;Jul;;;skola-barn;327
2013;Jul;;;skola-vuxen;84
2013;Aug;;;skola-barn;551
2013;Aug;;;skola-vuxen;209
2013;Sep;;;skola-barn;949
2013;Sep;;;skola-vuxen;234
2013;Okt;;;skola-barn;930
2013;Okt;;;skola-vuxen;268
2013;Nov;;;skola-barn;891
2013;Nov;;;skola-vuxen;230
2013;Dec;;;skola-barn;1553
2013;Dec;;;skola-vuxen;130
2014;Jan;;;skola-barn;480
2014;Jan;;;skola-vuxen;153
2014;Feb;;;skola-barn;750
2014;Feb;;;skola-vuxen;207
2014;Mar;;;skola-barn;1209
2014;Mar;;;skola-vuxen;93
2014;Apr;;;skola-barn;1220
2014;Apr;;;skola-vuxen;116
2014;Maj;;;skola-barn;2201
2014;Maj;;;skola-vuxen;154
2014;Jun;;;skola-barn;1087
2014;Jun;;;skola-vuxen;135
2014;Jul;;;skola-barn;322
2014;Jul;;;skola-vuxen;37
2014;Aug;;;skola-barn;810
2014;Aug;;;skola-vuxen;88
2014;Sep;;;skola-barn;940
2014;Sep;;;skola-vuxen;193
2014;Okt;;;skola-barn;973
2014;Okt;;;skola-vuxen;105
2014;Nov;;;skola-barn;1289
2014;Nov;;;skola-vuxen;180
2014;Dec;;;skola-barn;1910
2014;Dec;;;skola-vuxen;217
2015;Jan;;;skola-barn;608
2015;Jan;;;skola-vuxen;67
2015;Feb;;;skola-barn;663
2015;Feb;;;skola-vuxen;138
2015;Mar;;;skola-barn;1294
2015;Mar;;;skola-vuxen;167
2015;Apr;;;skola-barn;1503
2015;Apr;;;skola-vuxen;218
2015;Maj;;;skola-barn;2276
2015;Maj;;;skola-vuxen;267
2015;Jun;;;skola-barn;2246
2015;Jun;;;skola-vuxen;50
2015;Jul;;;skola-barn;315
2015;Jul;;;skola-vuxen;64
2015;Aug;;;skola-barn;833
2015;Aug;;;skola-vuxen;142
2015;Sep;;;skola-barn;1324
2015;Sep;;;skola-vuxen;192
2015;Okt;;;skola-barn;805
2015;Okt;;;skola-vuxen;285
2015;Nov;;;skola-barn;1067
2015;Nov;;;skola-vuxen;222
2015;Dec;;;skola-barn;1533
2015;Dec;;;skola-vuxen;90
2016;Jan;;;skola-barn;594
2016;Jan;;;skola-vuxen;78
2016;Feb;;;skola-barn;598
2016;Feb;;;skola-vuxen;213
2016;Mar;;;skola-barn;886
2016;Mar;;;skola-vuxen;217
2016;Apr;;;skola-barn;1205
2016;Apr;;;skola-vuxen;346
2016;Maj;;;skola-barn;3288
2016;Maj;;;skola-vuxen;156
2016;Jun;;;skola-barn;2249
2016;Jun;;;skola-vuxen;43
2016;Jul;;;skola-barn;386
2016;Jul;;;skola-vuxen;78
2016;Aug;;;skola-barn;758
2016;Aug;;;skola-vuxen;254
2016;Sep;;;skola-barn;1000
2016;Sep;;;skola-vuxen;280
2016;Okt;;;skola-barn;1018
2016;Okt;;;skola-vuxen;460
2016;Nov;;;skola-barn;1100
2016;Nov;;;skola-vuxen;303
2016;Dec;;;skola-barn;1376
2016;Dec;;;skola-vuxen;62
2017;Jan;;;skola-barn;393
2017;Jan;;;skola-vuxen;93
2017;Feb;;;skola-barn;358
2017;Feb;;;skola-vuxen;189
